seller_id,Revenue
53243585a1d6dc2643021fd1853d8905,243348.55
4869f7a5dfa277a7dca6462dcf3b52b2,236809.43
4a3ca9315b744ce9f8e9374361493884,214550.67
fa1c13f2614d7b5c4749cbc52fecda94,202658.62
7c67e1448b00f6e969d365cea6b010ab,199238.13
7e93a43ef30c4f03f38b393420bc753a,181088.19
da8622b14eb17ae2831f4ac5b9dab84a,171604.67
7a67c85e85bb2ce8582c35f2203ad736,150056.86000000002
1025f0e2d44d7041d6cf58b6550e0bfa,143035.55
955fee9216a65b617aa5c0531780ce60,134758.91
46dc3b2cc0980fb8ec44634e21d2718e,128522.11
6560211a19b47992c3666cc44a7e94c0,127552.81
7d13fca15225358621be4086e1eb0964,120753.05
5dceca129747e92ff8ef7a997dc4f8ca,120549.43
620c87c171fb2a6dd6e8bb4dec959fc6,118559.3
1f50f920176fa81dab994f9023523100,111768.31
cc419e0650a3c5ba77189a1882b7556a,109678.45999999999
a1043bafd471dff536d0c462352beb48,105108.98
3d871de0142ce09b7081e2b9d1733cb1,98736.6
edb1ef5e36e0c8cd84eb3c9b003e486d,81080.5
